country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0866,0.0657,0.0581,0.0741,0.122,0.206,0.282,0.331,0.333,0.341,0.284
Angola,,,,,,,,,,,,,,,,,,,,2.65,3.25,,,,17.5,9.76,17.1,15,27.7,30.2,23.1,30.4,10.6,9.25,8.95,7.94,9.58,7.79,2.18,6.34,3.91,3.87,5.13,5.35,6.32,7.12,10.4,9.16,9.46,12
Albania,,,,,,,,,,,,,,,,,,,,,,0.331,0.327,0.662,0.965,0.428,0.65,1.05,0.817,0.779,0.837,0.973,1.36,0.99,1.03,1.28,1.98,1.6,1.95,2.06,3.22,3.74,4.42,4.24,5.49,10.2,4.9,3.93,7.18,4.31
Argentina,3.68,3.21,3.33,2.64,2.29,3.05,3.2,3.32,5.78,3.32,5.59,7.04,6.18,6.96,8.41,7.45,6.94,5.91,4.19,6.25,4.58,2.96,2.19,2.51,2.28,3.51,4.86,5.62,6.64,9.17,8.98,6.93,5.74,11.7,8.82,5.73,8.44,3.15,2.72,4.58,3.82,3.07,2.55,2.93,3.31,3.07,4.75,6.38,6.92,9.32
Armenia,,,,,,,,,,,,,,,,,,,,,,,,0.167,0.339,0.748,2.6,1.38,3.14,3.32,2.45,2.57,3.36,4.28,4.63,2.79,2.32,2.01,2.99,4.71,9.97,8.91,10.6,17.3,11.8,14.1,13.5,12,13.2,14.9
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,0.0294,0.42,0.311,1.97,0.538,1.51,2.8,2.63,2.8,3.25,2.98,2.09,1.54,0.965,0.76,0.893,0.838,1.83,1.97,2.77,2.58,3.74,4.98,5.71,6.01,4.69
Burundi,0.351,1.8,3.4,0.338,0.857,0.525,0.636,0.565,1.74,0.551,0.935,0.819,0.811,1.35,2.44,2.32,2.97,4.24,4.37,3.9,3.8,3.4,3.7,3.88,4.48,3.91,3.62,3.06,3.45,3.75,2.56,2.72,2.92,3.86,9.95,3.64,1.58,1.35,1.22,1.13,0.216,0.461,0.902,1.32,1.12,0.868,1.13,1.11,0.963,1.34
Benin,0.528,1.11,0.73,0.459,1.12,0.901,0.616,0.518,0.558,0.549,1.44,1.76,1.99,3.05,4.64,4.8,4.72,2.66,1.77,1.77,1.93,1.55,1.68,1.41,2.53,2.25,1.89,2.31,2.4,1.88,2.15,1.29,1.34,0.726,0.668,0.74,0.6,0.453,0.308,0.491,0.462,0.47,0.531,0.678,0.604,0.692,0.842,0.828,1.64,3.61
Burkina Faso,0.462,0.435,0.566,0.565,0.503,0.564,0.484,0.493,0.49,0.529,1.15,1.11,1.13,1.14,1.49,1.9,1.81,1.53,1.64,1.48,1.11,1.48,1,1.19,2.32,2.04,1.87,2.1,1.93,1.91,1.6,1.21,1.24,1.01,0.976,0.756,0.685,0.554,0.444,0.47,0.504,0.586,0.586,0.609,0.701,1.01,0.997,1,0.936,1.02
Bangladesh,,,,0.126,0.22,0.553,1.37,1.48,1.04,1.28,1.31,0.958,1.17,1.18,1.47,1.44,1.96,2.06,1.83,1.74,2.26,1.88,1.63,1.52,1.53,1.92,1.37,1.36,1.21,1.31,1.4,1.2,1.24,1.05,0.962,1.12,0.941,1.19,0.953,0.933,0.888,1.1,1.12,1.16,1.06,0.787,0.747,0.823,1,1.82
Bulgaria,,,,,,,,,,,,0.346,0.827,1.82,2.61,6.89,7.72,7.16,10.6,12.1,7.24,2.8,4.43,3.09,7.24,6.15,10.7,9.25,9.35,9.33,9.92,9.8,8.43,5.27,9.3,14.9,11.2,15.1,10.9,9.67,8.55,8.02,8.76,11.4,9.47,19.3,15.6,15.2,10.6,8.52
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,5.24,4.99,2.5,2.45,2.27,2.65,2.94,2.63,2.41,2.55,3.27,4.3,6.05,5.84,7.92,5.01,6.67,5.39,5.09,4.68
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,0.668,1.35,1.06,1.36,1.33,2.23,3.07,2.75,2.6,2.4,1.66,2.32,2.04,2.45,2.32,3.36,3.14,5.39,7.83,6.41,7.02,9.22,13.7,8.37,10,7.21
Belize,0.021,0.0267,0.0634,0.651,0.469,0.419,0.403,0.363,0.34,0.545,1.86,2.02,3.63,4.43,4.19,8.66,7.05,5.74,5.33,4.82,4.53,3.76,3.21,3.34,4.47,6.12,6.55,6.29,7,6.78,9.91,12.1,22,17.1,35.2,23.2,12.7,58.4,12.4,10.2,10.3,9.63,11,9.28,6.02,6.02,6.1,6.03,6.56,5.71
Bolivia,,,,,,,5.32,5.51,10.4,7.03,8.7,6.71,10.6,9.21,9.41,7.41,7.02,5.66,8.74,6.7,8.48,6.6,5.41,6.21,6.11,5.81,5.83,6.23,5.27,5.25,7.85,6.94,6.27,5.59,6.22,5.81,4.02,5.88,5.89,3.51,3.5,1.94,2.56,1.91,3.14,3.12,2.33,2.69,2.56,2.7
Brazil,1.84,1.81,2.07,2.45,3.28,3.57,2.88,3.34,4.32,5.19,6.52,7.1,7.21,6.98,6.99,5.46,4.56,4.25,5.33,3.16,1.83,1.42,2.22,2.64,2.98,2.85,3.05,4.52,6.23,12,9.2,9.25,10.6,10.8,8.28,7.27,5.76,4.02,3.42,2.73,2.14,2.32,1.89,3.36,2.58,5.08,6.68,4.71,5.13,8.31
Bhutan,,,,,,,,,,,,0.00218,0.00309,0.00575,0.026,0.0222,0.0987,0.244,0.533,2.59,1.94,3.31,2.78,3.53,3.15,3.87,2.58,2.25,2.99,2.24,1.66,1.4,1.29,1.24,1.83,0.904,1.22,2.79,6.83,6.38,5.99,5.14,8.34,4.75,4.68,6.93,5.6,3.69,3.92,2.68
Botswana,0.628,0.723,0.996,1.01,1.06,1.99,1.15,1.3,1.39,1.13,1.39,0.878,1.39,2.22,2.89,4.67,3.55,4.22,3.09,2.58,2.86,2.21,2.27,2,2.28,1.95,3.29,2.12,1.55,1.42,1.26,0.97,1.28,0.741,0.608,0.589,0.602,0.463,0.683,0.466,0.655,0.529,0.418,1.36,0.41,1.78,1.17,1.1,1.08,1.16
Central African Republic,1.67,1.17,0.797,1.8,1.74,1.55,0.959,0.854,0.858,0.54,1.25,1.55,1.17,3.21,3.94,3.06,2.56,2.38,2.18,2.78,2.05,1.11,1.11,0.733,2.79,1.43,1.31,1.69,3.5,1.92,1.62,1.47,0.119,0.0711,0.856,0.518,4.92,5.33,1.37,1.53,0.156,0.0615,0.184,0.393,0.629,1.02,1.37,1.82,1.1,1.59
China,,,,,,,,,,,,0.891,1.03,1.16,0.875,0.8,0.99,1.41,1.46,1.62,1.95,2.16,2.02,2.29,1.98,2.08,1.85,1.94,1.82,2.46,2.22,1.89,2.14,2.27,1.19,1.21,1,0.896,0.721,0.784,0.86,0.839,0.849,0.813,0.778,1.15,1.5,1.68,1.74,1.94
Cote d'Ivoire,3,3.14,3.41,3.14,4.17,3.79,5,5,6.23,7.63,14.5,19.4,21.9,20.6,17.9,17.7,15.6,14.9,11.6,12.9,13.7,14,11.8,11.3,16.5,10.4,12.2,10.6,11.5,12.4,10.5,6.24,7.65,4.38,2.65,1.87,1.58,2.2,4.47,4.83,3.13,2.99,2.78,3.53,2.93,1.81,3.34,4.49,2.96,5.27
Cameroon,1.12,1.38,1.35,1.83,1.68,1.77,1.88,2.58,2.96,3.19,5.03,5.1,6.24,5.4,5.9,7.9,5.76,5.05,5.53,3.76,4.38,3.78,3.46,3.4,4.89,4.55,5.23,5.38,5.03,5.36,5.88,3.54,3.19,3.11,3.6,4.69,3.92,2.22,1.68,1.55,0.784,1.14,0.828,0.864,1.53,1.67,2.89,2.1,2.79,3.06
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,0.305,0.512,0.897,0.22,0.332,0.586,0.159,0.286,11,1.7,1.33,1.9,2.07,3.11,3.21,3.5,1.33,1.04,1.01,1.34,1.25,1.13,1.33,1.07,0.826,2.61
"Congo, Rep.",3.29,2.74,1.9,2.32,3.24,3.96,3.25,5.17,2.48,6.87,7.05,12.8,11.9,17.3,17.5,20.9,19.3,19.4,22.8,17.3,22.4,14.1,7.24,7.32,36.7,15.2,25,8.17,3.09,1.62,1.97,4.77,1.37,2.51,6.7,2.23,1.28,1.47,1.65,2,1.16,0.972,1.02,2.51,2.54,3.24,3.05,3.47,3.35,5.02
