country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,94.5,94.8,95.1,95.3,95.6,95.9,96.2,96.5,96.7,97,97.3,97.6,97.9,97.9,97.9,97.9,97.9,
Afghanistan,27.8,27.8,29.9,32,34.1,36.3,38.4,40.8,43.3,45.8,48.4,50.9,53.5,56.2,58.8,61.5,64.3,67.1
Angola,41.1,42.3,43.4,44.4,45.4,46.3,47.2,48,48.8,49.6,50.4,51.2,52,52.8,53.5,54.3,55.1,55.8
Albania,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.8,87.8,87.9,89.5,91,91,91,91
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United Arab Emirates,95.7,95.7,95.7,95.7,95.7,95.7,95.8,95.8,95.8,95.8,95.8,95.9,95.9,95.9,96.1,96.8,97.4,98
Argentina,96.2,96.5,96.7,96.9,97.2,97.4,97.6,97.8,98.1,98.3,98.5,98.7,98.9,98.9,99,99.1,99.1,
Armenia,95.1,95.4,95.7,96,96.3,96.7,97,97.3,97.6,97.9,98.3,98.6,98.9,99.3,99.6,99.7,99.9,99.9
American Samoa,98.5,98.5,98.6,98.7,98.8,98.8,98.9,99,99.1,99.2,99.2,99.3,99.4,99.5,99.5,99.6,99.7,99.8
Antigua and Barbuda,98.3,98.1,98,97.9,97.8,97.7,97.6,97.4,97.3,97.2,97.1,97,96.9,96.7,96.7,96.7,96.7,96.7
Australia,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,73.4,74.8,76.3,77.7,79.2,80.7,82.2,83.7,85.2,85.9,86.6,87.3,88,88.7,89.4,90,90.7,91.4
Burundi,50.7,51.2,51.8,52.4,53,53.6,54.1,54.7,55.3,55.9,56.5,57.1,57.7,58.3,59,59.6,60.2,60.8
